stationId	latitude	longitude	precipitation
IBRIQU1	49.405324	4.878868	55.91
IOMONT1	49.601989	4.733161	46.2
ICOULO5	49.440313	4.600281	44.7
ISAVIG19	49.364744	4.723761	58.19
ICHAMPAG23	49.626713	4.914683	23.62
INOUVION5	49.701	4.801438	36.83
ICHAUV3	49.540478	5.297547	44.91
IFLORE50	49.63331	5.327996	39.4
IVIRTO3	49.583069	5.556281	47.19
IVIRTON5	49.532627	5.597771	29.79
IGORCY1	49.536411	5.684228	47.75
ILORRAIN78	49.514938	5.766354	34.9
IAUBANGE18	49.55764	5.797166	38.4
IHUSSIGN2	49.491146	5.860274	25.91
IDIFFE2	49.516998	5.889	37.08
ILUXEMBO182	49.516094	5.928246	25.15
ISCHIFFL21	49.505562	6.0125	36.32
ISCHIFFL18	49.504692	6.01758	39.88
IESCHS3	49.507999	5.973	12.19
IMONDE1	49.5313	6.031536	28.7
IBETTE1	49.519001	6.059	27.71
IBETTE19	49.516651	6.104491	29.49
ILUXEMBU49	49.517651	6.105514	26.19
IROESER5	49.502453	6.135061	29.21
IBETTE17	49.519669	6.081797	24.38
IDUDELAN13	49.476959	6.096928	24.64
IABWEI1	49.533	6.077	28.19
IFRISA1	49.516	6.187	21.08
IFRISA2	49.520896	6.185674	22.1
IROUSS7	49.464	6.2	22.86
IROUSS8	49.455716	6.189093	26.67
IMONDO7	49.508	6.272	35.0
IMONDO8	49.50919	6.283179	29.49
IMONDO9	49.510534	6.283647	26.67
ISCHEN1	49.503624	6.31848	35.31
IBEYRE3	49.470319	6.309368	32.26
IPERL24	49.507599	6.382784	30.99
IPERL27	49.506	6.376	28.7
IPERL28	49.482494	6.389545	27.18
IPERL22	49.499706	6.442106	23.37
IPERL21	49.469528	6.38105	23.39
IPERL19	49.467117	6.377461	23.37
ICHARL29	49.785	4.692	35.81
ICHINY4	49.697118	5.382964	37.6
ITALLE13	49.673051	5.667114	38.81
ISAINT1137	49.620151	5.718177	33.02
IARLON63	49.685144	5.712037	39.12
IAUBANGE19	49.569817	5.776245	39.37
IARLON59	49.638974	5.772772	29.46
IMESSA1	49.632	5.806	38.4
ICLEME2	49.594051	5.871804	29.72
IBASCH1	49.573002	5.917	27.43
IBASCH3	49.562	5.918	31.8
IBASCH8	49.559	5.896	36.09
ILUXEMBU60	49.590996	5.982148	27.18
IDIPPA1	49.587	5.982	29.69
IBERTR18	49.613	6.045	11.43
ILMAMER6	49.630718	6.020388	34.01
IBERTRAN43	49.610001	6.05	42.93
IBERTR4	49.606	6.053	36.09
ILUXEM1	49.605999	6.114	41.91
ILUXEMBO85	49.621574	6.115753	24.38
ILUXEMBO110	49.59119	6.169322	36.07
ILUXEM13	49.60911	6.161629	28.09
IALZIN2	49.574165	6.165982	35.61
ILUXEM16	49.593754	6.143506	32.41
IWEILERL8	49.562305	6.219735	5.84
ICANAC1	49.602	6.266	27.18
IERSAN1	49.576221	6.275153	24.38
ICONTERN4	49.586056	6.260773	22.1
IEHNEN3	49.602	6.391	15.49
IPALZE1	49.582806	6.416789	21.89
IWINCH17	49.609719	6.430975	14.48
IWORMELD8	49.629234	6.423727	17.3
IDAMOU1	49.796	4.676	38.35
IBOGNY2	49.855276	4.729899	41.15
IVRESS4	49.861124	4.929445	48.79
IBERTR3	49.828	5.302	28.45
ILGLIS7	49.796	5.557	38.61
IHABAY9	49.707	5.679	39.62
