stationId	latitude	longitude	precipitation
IBRIQU1	49.405324	4.878868	12.19
IOMONT1	49.601989	4.733161	18.29
ICOULO5	49.440313	4.600281	0.0
ISAVIG19	49.364744	4.723761	22.1
ICHAMPAG23	49.626713	4.914683	6.1
INOUVION5	49.701	4.801438	17.53
ICHAUV3	49.540478	5.297547	11.71
IFLORE50	49.63331	5.327996	9.7
IMARVI2	49.452	5.455	19.81
IVIRTO3	49.583069	5.556281	55.6
IVIRTON5	49.532627	5.597771	11.0
IGORCY1	49.536411	5.684228	8.38
ILORRAIN78	49.514938	5.766354	6.4
IAUBANGE18	49.55764	5.797166	8.89
IHUSSIGN2	49.491146	5.860274	12.95
IRODAN1	49.54231	5.823398	1.02
IDIFFE2	49.516998	5.889	7.37
ILUXEMBO182	49.516094	5.928246	28.19
ISCHIFFL21	49.505562	6.0125	18.03
ISCHIFFL18	49.504692	6.01758	17.78
IESCHS3	49.507999	5.973	10.41
IMONDE1	49.5313	6.031536	14.48
IBETTE1	49.519001	6.059	11.91
IBETTE19	49.516651	6.104491	14.2
ILUXEMBU49	49.517651	6.105514	15.49
IROESER5	49.502453	6.135061	8.89
IBETTE17	49.519669	6.081797	18.8
IDUDELAN13	49.476959	6.096928	91.95
IABWEI1	49.533	6.077	12.4
IFRISA1	49.516	6.187	7.37
IFRISA2	49.520896	6.185674	7.9
IROUSS7	49.464	6.2	7.62
IROUSS8	49.455716	6.189093	75.44
IMONDO7	49.508	6.272	5.59
IMONDO8	49.50919	6.283179	3.3
IMONDO9	49.510534	6.283647	2.79
ISCHEN1	49.503624	6.31848	2.31
IBEYRE3	49.470319	6.309368	2.29
IBEYRE5	49.46867	6.309099	0.0
IGREVENM7	49.538357	6.284541	
IPERL24	49.507599	6.382784	1.3
IPERL27	49.506	6.376	0.99
IPERL28	49.482494	6.389545	1.52
IPERL22	49.499706	6.442106	1.02
IPERL21	49.469528	6.38105	1.5
IPERL19	49.467117	6.377461	1.52
ICHARL29	49.785	4.692	20.32
ICHINY4	49.697118	5.382964	8.0
ITALLE13	49.673051	5.667114	10.11
ISAINT1137	49.620151	5.718177	6.6
IARLON63	49.685144	5.712037	7.87
IAUBANGE19	49.569817	5.776245	7.87
IARLON59	49.638974	5.772772	4.57
IMESSA1	49.632	5.806	8.1
ICLEME2	49.594051	5.871804	8.89
IBASCH1	49.573002	5.917	11.68
IGARNI1	49.635025	5.916247	0.0
IBASCH3	49.562	5.918	13.69
IBASCH8	49.559	5.896	10.59
ILUXEMBU60	49.590996	5.982148	16.51
IDIPPA1	49.587	5.982	26.7
IMAMER7	49.622425	6.028788	18.8
IBERTR18	49.613	6.045	11.18
ILMAMER6	49.630718	6.020388	24.41
IBERTRAN43	49.610001	6.05	20.57
IBERTR4	49.606	6.053	17.09
ILUXEM1	49.605999	6.114	175.79
ILUXEMBO70	49.606281	6.117644	0.0
ILUXEMBO85	49.621574	6.115753	12.19
ILUXEMBO110	49.59119	6.169322	16.0
ILUXEM13	49.60911	6.161629	13.31
IALZIN2	49.574165	6.165982	10.39
ILUXEM16	49.593754	6.143506	1.17
IWEILERL8	49.562305	6.219735	32.51
ICANAC1	49.602	6.266	6.1
IERSAN1	49.576221	6.275153	4.83
ICONTERN4	49.586056	6.260773	4.83
IEHNEN3	49.602	6.391	0.51
IPALZE1	49.582806	6.416789	0.2
IWINCH17	49.609719	6.430975	59.44
IWORMELD8	49.629234	6.423727	0.3
IDAMOU1	49.796	4.676	19.56
IBOGNY2	49.855276	4.729899	29.97
IVRESS4	49.861124	4.929445	24.89
IBERTR3	49.828	5.302	11.94
ILGLIS5	49.797535	5.538374	0.3
ILGLIS7	49.796	5.557	17.27
IHABAY9	49.707	5.679	8.38
ILGLIS8	49.78706	5.63152	10.41
ILGLIS6	49.794396	5.65555	11.94
IATTERT9	49.719406	5.753531	6.35
IARLON60	49.691643	5.769078	4.83
IARLON64	49.682942	5.798825	6.86
IARLON61	49.687092	5.812061	7.37
IARLON65	49.67858	5.825865	0.0
IARLON17	49.673557	5.829329	9.4
IEISCH1	49.689	5.88	88.14
IHOBSC1	49.682	5.918	15.01
IHOBSC2	49.686	5.929	12.19
ISTEINFO2	49.662022	5.92557	6.86
IKOERICH15	49.669628	5.948658	16.26
IGOEBL1	49.67	5.964	15.49
IDONDE1	49.693	6.033	25.4
IHOLLE23	49.714235	6.04595	30.2
IHOLLE28	49.713597	6.047683	27.3
IKOERICH14	49.670574	5.971231	81.0
ILUXEMBO3	49.671364	6.034289	18.54
IKEHLE3	49.66663	6.029306	1.52
ILMEISPE2	49.686634	6.05738	17.02
IBROUC2	49.739	6.014	27.69
ICLAUS10	49.693881	6.068613	23.88
IGOSSE1	49.729	6.114	95.5
ISTEINSE14	49.669525	6.132354	14.22
IHEISD4	49.673682	6.141966	13.21
ILUXEMBU11	49.662422	6.080723	15.24
IJUNGLIN19	49.702068	6.220619	11.68
IALTLI2	49.723	6.218	9.4
IGONDE5	49.695117	6.246045	5.59
IJUNGL1	49.707	6.251	0.25
IJUNGL2	49.710787	6.255329	7.29
INIDDERA39	49.680775	6.251249	89.15
IBETZD2	49.681244	6.311361	
IGMANTER5	49.708317	6.421361	0.76
IBIWER1	49.703	6.375	1.09
IBERBO5	49.729	6.393	0.99
ILELLI1	49.720455	6.435176	0.0
IGREVE93	49.6828	6.448179	0.2
ITEMME1	49.688	6.469	0.0
IBERTR11	49.856292	5.248538	23.88
IBERTR17	49.859	5.25	21.89
INEUFC5	49.864438	5.485897	11.68
ILUXEMBO7	49.854092	5.590065	7.62
IVAUXS11	49.877243	5.561877	0.25
IRAMBROU2	49.805557	5.767778	0.0
IATTER3	49.762	5.763	9.4
IFAUVI3	49.876	5.676	12.19
INIEDE143	49.757	5.907	6.35
IDIEKIRC6	49.891918	5.813851	5.79
IPRIZE1	49.794987	5.95238	13.21
IPRIZERD2	49.796089	5.955194	12.19
IUSELDAN3	49.777401	5.948361	14.81
ISCHAN2	49.791554	5.980799	26.9
IVICHT1	49.796574	6.005562	25.4
IMERTZIG3	49.832005	6.005986	29.31
IMERTZ10	49.833	6.008	35.61
ICOLMA12	49.809617	6.096312	26.9
ICOLMA9	49.810345	6.09113	19.05
IBISSE17	49.789378	6.065594	24.1
IBERIN6	49.758	6.116	16.51
IETTEL2	49.85	6.095	65.79
ICHRIS189	49.788	6.274	5.31
IGREVENM12	49.786579	6.276158	5.0
IGILSD9	49.867	6.183	8.38
IKALKE1	49.782768	6.34691	2.03
IBERDO1	49.821848	6.344439	93.22
IGREVENM13	49.741951	6.283994	3.3
IMINDE6	49.824	6.469	0.3
IMOMPA1	49.753	6.464	0.25
IROSPO6	49.804493	6.50065	0.1
IPALIS6	49.964	5.185	38.35
ILIBRA2	49.928001	5.36	34.8
ILIBRA4	49.999334	5.47079	11.0
IRGIONWA102	49.923901	5.672069	0.0
IVAUXS15	49.965397	5.678987	13.46
IBASTO4	49.967	5.717	16.99
IBASCH6	49.897559	5.815921	8.38
IWAHL6	49.869999	5.9	11.94
IHEIDE240	49.889224	5.976934	25.1
IHEIDE238	49.887393	5.976981	21.08
INOCHE3	49.948255	5.957723	10.59
INOCHE4	49.946324	5.97503	19.3
IKIISC1	49.951	6.02	38.1
IDIEKIRC11	49.85149	6.115816	19.81
IDIEKI2	49.866	6.156	78.99
IDINGELD2	49.857697	6.141451	22.4
IBETTEND8	49.879429	6.221175	98.3
IBETTEND4	49.875938	6.212749	15.24
IHOESD4	49.882949	6.255554	3.99
IWALLE10	49.8741	6.2905	1.78
INUSBAUM2	49.895294	6.350045	1.02
INIEHL1	49.955574	6.359881	1.6
IMECKEL2	49.888733	6.515806	0.0
ICHOOZ2	50.101997	4.807685	46.23
IBEAUR5	50.103	4.904	40.89
IVIROI6	50.092	4.67	33.53
IFROME17	50.128963	4.849992	65.3
IROCHE81	50.11638	5.107647	18.59
IROCHE97	50.144	5.15	7.49
IHOUYE1	50.158211	5.062436	28.19
ISAINTHU7	50.025009	5.363176	48.26
ISAINT1050	50.03	5.378	30.48
ITENNE4	50.12	5.505	103.89
IBASTO8	50.061	5.748	12.8
ILAROC21	50.122201	5.635687	101.6
IWEIDI1	49.974354	5.933325	0.2
ILUXEMBO5	50.09647	5.868244	18.03
IPINTS3	49.995096	6.007815	19.99
IDRAUF1	50.019	6.004	13.46
IDEIFF3	50.066475	5.962674	11.2
IWINCRAN5	50.083328	5.95	9.4
IPARCH5	50.011513	6.050169	30.3
IPREISCH2	50.033298	6.15	27.69
IPREIS2	50.037025	6.152035	75.18
INEUER2	50.012189	6.290961	1.52
IDIEKIRC17	49.940208	6.215091	14.22
IDALEI3	50.072523	6.184356	26.9
IRITTE11	49.993874	6.48892	0.61
IBITBU4	49.978001	6.519	0.25
ILASEL1	50.112965	6.469108	1.3
IHASTI11	50.196533	4.823289	51.31
INAMURHO2	50.19878	4.993482	40.89
IMARCH89	50.179	5.311	5.0
IMARCH62	50.189	5.402	34.01
IMARCH64	50.202	5.425	17.02
ILAROCHE158	50.181671	5.575	25.91
ILAROCHE159	50.137531	5.652853	30.91
ILAROC35	50.146	5.675	23.39
IHOUFF4	50.158657	5.785647	18.8
IHOFFE1	50.102909	5.922765	97.03
IGOUVY8	50.142	5.906	14.73
IESELB1	50.062337	6.000803	9.7
IREULE1	50.060021	6.035119	23.9
IREULE2	50.055778	6.036101	28.19
IWEISW2	50.138683	6.0769	41.4
IGROKA11	50.162142	6.205891	19.3
IPRONSFE3	50.159107	6.336806	1.52
IPRONSFE2	50.160618	6.350501	2.01
IHEISD3	50.134583	6.428665	0.2
INIMSR2	50.131405	6.450792	0.99
IDINAN13	50.272926	4.9	70.36
IMETTE10	50.27288	4.651281	53.8
ICINEY14	50.252	5.199	23.29
IMARCH84	50.225605	5.349297	21.34
IMARCH70	50.238	5.366	19.0
IMARCH60	50.238	5.37	18.29
IRENDE6	50.216835	5.477452	49.81
IRENDE10	50.217205	5.52458	16.51
IVIELS1	50.253915	5.735642	31.0
IMANHA8	50.274819	5.719587	70.1
IMANHA7	50.276	5.656	29.97
ILIERN2	50.286055	5.793754	19.81
IVIELS4	50.260873	5.94095	27.0
IVIELSAL6	50.284733	5.902289	26.67
IWINTE18	50.213177	6.209644	76.45
IBLEIA1	50.236989	6.282725	3.61
IRIJNLAN2	50.192604	6.368974	1.02
IPRM13	50.202092	6.41036	0.79
IPRM14	50.21	6.42	0.51
IROMME5	50.197635	6.44983	1.8
IPRM12	50.228512	6.436841	109.47
IMETTE5	50.308998	4.71	44.2
IMETTE21	50.346	4.723	52.81
IMETTE9	50.336	4.68	64.77
IYVOIR16	50.315	4.971	85.85
IYVOIR6	50.337566	4.96502	26.92
IASSES3	50.364	4.937	91.21
ICINEY13	50.293688	5.102741	32.51
IHAMOI2	50.32	5.182	44.91
IHAMOI5	50.307715	5.209949	35.05
IHAVEL27	50.371244	5.339065	24.21
IDURBU1	50.333	5.432	17.78
IMANHA3	50.313	5.688	32.77
IFERRIRE27	50.402313	5.605195	20.32
IAYWAI3	50.418	5.689	128.7
ITROIS38	50.363853	5.860294	10.67
ITROIS14	50.362663	5.875781	22.1
ISAINTVI84	50.309372	6.093909	17.02
ISANKT230	50.304627	6.166627	48.31
IAMEL5	50.332	6.189	30.99
IAMBLV2	50.317772	6.253663	14.99
IBLLIN6	50.408791	6.306152	10.21
IKLEIN52	50.271	6.494	122.68
INAMUR76	50.420096	4.799438	50.8
IFOSSE4	50.408465	4.753241	59.69
INAMUR65	50.429638	4.817633	33.78
INAMUR62	50.431	4.82	0.51
INAMUR78	50.437	4.923	94.21
INAMUR77	50.452077	4.876928	59.94
IASSES5	50.390755	5.023096	133.6
IGESVE1	50.426557	5.022539	0.4
IASSES2	50.386	5.044	75.44
IANDENNE12	50.48333	5.1	4.32
ITINLO1	50.463393	5.323616	54.86
IMODAV1	50.478125	5.290414	46.74
IFERRI13	50.438	5.624	23.37
ISPRIM3	50.507	5.642	17.78
ITHEUX19	50.464875	5.808201	39.12
IRGIONWA85	50.499901	5.715506	15.49
IJALHA7	50.494219	5.908539	50.29
IWAIME4	50.417	6.105	9.6
IMALME3	50.473999	6.08	18.49
IBLLIN7	50.406	6.247	14.5
IBULLA6	50.415001	6.313	8.38
IBLLIN5	50.407369	6.33114	
IHELLE63	50.457	6.396	99.8
INAMUR79	50.475	4.799	50.8
IRGIONWA78	50.46307	4.847392	38.86
ILABRUYR13	50.534767	4.865408	39.12
INAMUR20	50.496952	4.886795	57.15
INAMUR72	50.512343	4.947154	73.15
IGHEZE13	50.546457	4.907776	71.37
IGHEZE14	50.546596	4.907294	73.91
IWALPETI8	50.521587	5.048214	95.76
IHRON8	50.552	5.053	82.3
IBURDI1	50.576381	5.14814	71.91
IHUY26	50.533116	5.254008	35.56
IVILLE71	50.561	5.267	47.8
ISERAI4	50.568296	5.532989	80.77
IDOLEMBR2	50.53104	5.610046	30.4
IARRONDI6	50.586323	5.565102	0.0
ISPRIM5	50.516689	5.65676	12.7
ITHEUX20	50.516856	5.781863	23.09
IJALHA9	50.514	5.94	57.91
IJALHA4	50.52478	5.968425	65.3
IMONSC7	50.52591	6.222053	16.69
IEUPEN5	50.59	6.1	19.3
IMONSC6	50.565064	6.198281	14.48
IMONSCHA14	50.534534	6.264097	16.76
IAACHENM1	50.564484	6.21191	13.72
IMONSCHA15	50.567272	6.229394	23.9
INORDRHE241	50.561131	6.256075	14.22
IHELLE21	50.481998	6.496	0.51
IPERWE1	50.627389	4.805558	60.71
IPERWE2	50.634	4.785	65.0
IRAMIL1	50.633	4.864	63.5
IGEMBLOU21	50.575809	4.716853	36.83
IGHEZE6	50.574	4.891	68.1
IGEMBL3	50.57	4.699	51.56
IINCOURT9	50.677231	4.799104	201.93
IBRAIV6	50.617	5.097	83.11
IHANNU14	50.633446	5.089993	76.71
IHANNU13	50.639663	5.086498	90.4
IHANNU8	50.663	5.051	93.8
IBRAIVES5	50.634949	5.158643	80.01
ITOURINN3	50.638779	5.177727	39.37
IVILLE189	50.585281	5.280034	46.99
IGEER8	50.668	5.188	55.88
IVERLA3	50.603267	5.311691	39.62
ISAINT1455	50.648	5.516	29.79
ISAINT2727	50.625152	5.538399	22.35
ILIGE75	50.622912	5.559157	12.2
ILIGE70	50.63	5.555	29.01
ILIGE78	50.597	5.575	27.43
ILIGE73	50.619667	5.576904	22.3
IRGIONWA46	50.585712	5.6168	1.2
ILIGE38	50.632984	5.579376	25.91
ILIGE76	50.62892	5.635324	21.08
IOLNE3	50.606	5.705	27.18
IFLRON12	50.628	5.702	30.51
IRGIONWA3	50.607231	5.747346	28.7
IDISON3	50.609	5.863	30.99
IBAELE11	50.63	5.968	81.03
ITHIMIST7	50.64917	5.865667	26.92
IBAELE8	50.631835	6.004354	95.0
IEUPEN19	50.648792	6.054296	33.02
IRAERE10	50.660443	6.11196	32.51
IRAERE9	50.669	6.111	24.61
IROETG15	50.642	6.187	0.0
IMONSCHA16	50.576252	6.22925	20.07
IMONSC8	50.574	6.225	20.57
IMONSC5	50.588562	6.251996	15.75
IMONSC12	50.569655	6.228538	17.02
IROETG4	50.638	6.21	21.59
INORDRHE456	50.579079	6.293874	6.6
ISIMME99	50.625717	6.311499	9.4
ISIMME13	50.624507	6.33397	8.89
ISIMME7	50.624001	6.338	10.21
ISIMME72	50.626	6.356	6.86
ISIMMERA15	50.625832	6.355576	6.86
INIDEG3	50.64446	6.41574	6.6
IHEIMB6	50.637	6.455	1.02
IHEIMB2	50.633999	6.463	58.9
IINCOU4	50.73	4.76	72.39
ICHAUM2	50.702	4.735	95.0
IJODOI2	50.722539	4.863485	55.12
IGREZD1	50.731296	4.740903	79.5
IJODOI6	50.717	4.875	49.78
IJODOI3	50.705687	4.913861	41.4
IWALENIN2	50.693619	4.929011	0.0
IORPJA2	50.703335	4.930379	68.58
IJODOI5	50.731	4.878	59.44
IORPJAUC3	50.680641	4.98048	76.96
IHANNUT5	50.692959	5.023301	94.01
IRGIONWA31	50.712982	5.035172	70.87
ILINCE2	50.726	5.011	71.12
ILANDE3	50.725506	5.08607	86.31
IGEER6	50.671429	5.169496	71.63
IBERLO7	50.696644	5.225805	74.9
IGINGE2	50.722	5.201	81.2
IWAREM1	50.696817	5.284254	39.4
IREMIC2	50.67859	5.332469	49.78
IRGIONWA118	50.722042	5.346043	44.7
IHEERS3	50.769249	5.321218	60.2
IAWANS6	50.699825	5.439408	21.34
IANS30	50.701172	5.487029	30.99
ITONGE1	50.750999	5.447	38.1
IJUPRE2	50.725259	5.514389	29.97
ITONGE5	50.751999	5.499	31.8
IHERST3	50.673	5.593	25.6
IOUPEY1	50.710796	5.641251	12.7
IHERST5	50.667	5.599	21.08
IOUPEY3	50.71	5.651	16.51
IRGIONWA103	50.695927	5.653423	11.1
ILIGE68	50.654072	5.634042	4.32
IVIS21	50.727978	5.701215	20.09
IRGIONWA63	50.658253	5.715388	25.15
IHERVE52	50.681916	5.82077	25.6
IHERVE16	50.6763	5.792198	24.1
IAUBEL12	50.711	5.846	18.54
IHERVE105	50.665312	5.752249	35.31
IDALHE7	50.74	5.735	17.81
IHERVE98	50.641953	5.824091	24.89
IVOEREN8	50.722759	5.891942	21.89
IWELKE4	50.673469	5.923455	43.0
IPLOMB3	50.726519	5.924047	24.1
IVOERE10	50.747	5.882	21.79
IPLOMB4	50.716015	5.9794	40.41
ILACAL12	50.721	6.013	88.39
ILACALAM3	50.708328	6.036449	40.39
IKELMI1	50.725	6.018	31.5
IRAERE2	50.698002	6.048	42.9
IAACHE21	50.719	6.039	7.37
IRAERE5	50.689	6.086	40.41
IRAERE12	50.684	6.094	71.88
IRAERE11	50.71314	6.121418	44.96
IWALHAUS2	50.704399	6.057881	41.4
IAACHE48	50.705274	6.180314	13.79
ISTOLB13	50.711	6.215	0.0
IAACHE49	50.712652	6.184902	112.78
IROETG13	50.683	6.206	17.02
IAACHEN132	50.711575	6.17896	105.92
INORDRHE79	50.683201	6.35963	5.79
IHRTGE1	50.709999	6.373	6.3
IKREUZ4	50.717999	6.435	2.59
INORDRHE22	50.668072	6.395813	3.81
IKREUZAU12	50.719067	6.444135	1.24
INIDEG7	50.665069	6.411179	4.57
