stationId	latitude	longitude	precipitation
IBRIQU1	49.405324	4.878868	122.19999999999999
IOMONT1	49.601989	4.733161	89.4
ISAVIG19	49.364744	4.723761	109.19999999999999
ICHAMPAG23	49.626713	4.914683	50.03
INOUVION5	49.701	4.801438	85.34
ICHAUV3	49.540478	5.297547	94.72
IFLORE50	49.63331	5.327996	85.6
IVIRTO3	49.583069	5.556281	94.0
IVIRTON5	49.532627	5.597771	83.99
IGORCY1	49.536411	5.684228	148.33
ILORRAIN78	49.514938	5.766354	93.5
IAUBANGE18	49.55764	5.797166	139.69
IHUSSIGN2	49.491146	5.860274	80.78
IDIFFE2	49.516998	5.889	106.68
ILUXEMBO182	49.516094	5.928246	87.38
ISCHIFFL21	49.505562	6.0125	128.78
ISCHIFFL18	49.504692	6.01758	149.35
IESCHS3	49.507999	5.973	21.84
IMONDE1	49.5313	6.031536	126.49
IBETTE1	49.519001	6.059	126.21000000000001
IBETTE19	49.516651	6.104491	130.61
ILUXEMBU49	49.517651	6.105514	110.7
IROESER5	49.502453	6.135061	120.65
IBETTE17	49.519669	6.081797	106.67999999999999
IDUDELAN13	49.476959	6.096928	117.86000000000001
IABWEI1	49.533	6.077	130.78
IFRISA1	49.516	6.187	96.01
IFRISA2	49.520896	6.185674	104.41999999999999
IROUSS7	49.464	6.2	98.55
IROUSS8	49.455716	6.189093	100.33
IMONDO7	49.508	6.272	125.78
IMONDO8	49.50919	6.283179	109.28999999999999
IMONDO9	49.510534	6.283647	94.23
ISCHEN1	49.503624	6.31848	121.42
IBEYRE3	49.470319	6.309368	109.72999999999999
IPERL24	49.507599	6.382784	106.67999999999999
IPERL27	49.506	6.376	103.10000000000001
IPERL28	49.482494	6.389545	89.92
IPERL22	49.499706	6.442106	73.66
IPERL21	49.469528	6.38105	85.9
IPERL19	49.467117	6.377461	85.85
ICHARL29	49.785	4.692	71.11
ICHINY4	49.697118	5.382964	73.2
ITALLE13	49.673051	5.667114	125.7
ISAINT1137	49.620151	5.718177	106.18
IARLON63	49.685144	5.712037	120.15
IAUBANGE19	49.569817	5.776245	143.51
IARLON59	49.638974	5.772772	104.64000000000001
IMESSA1	49.632	5.806	135.89
ICLEME2	49.594051	5.871804	104.39
IBASCH1	49.573002	5.917	104.65
IBASCH3	49.562	5.918	117.9
IBASCH8	49.559	5.896	120.19
ILUXEMBU60	49.590996	5.982148	96.26999999999998
IDIPPA1	49.587	5.982	124.17999999999999
IBERTR18	49.613	6.045	47.75
ILMAMER6	49.630718	6.020388	140.72
IBERTRAN43	49.610001	6.05	172.97000000000003
IBERTR4	49.606	6.053	144.19
ILUXEM1	49.605999	6.114	199.42000000000002
ILUXEMBO85	49.621574	6.115753	112.25999999999999
ILUXEMBO110	49.59119	6.169322	172.98
ILUXEM13	49.60911	6.161629	146.48
IALZIN2	49.574165	6.165982	142.01
ILUXEM16	49.593754	6.143506	180.57
IWEILERL8	49.562305	6.219735	35.05
ICANAC1	49.602	6.266	115.82
IERSAN1	49.576221	6.275153	113.03
ICONTERN4	49.586056	6.260773	77.98
IEHNEN3	49.602	6.391	81.28
IPALZE1	49.582806	6.416789	97.58
IWINCH17	49.609719	6.430975	73.66
IWORMELD8	49.629234	6.423727	101.09
IDAMOU1	49.796	4.676	70.86
IBOGNY2	49.855276	4.729899	70.36
IVRESS4	49.861124	4.929445	105.19999999999999
IBERTR3	49.828	5.302	88.39
ILGLIS7	49.796	5.557	113.8
IHABAY9	49.707	5.679	108.70000000000002
ILGLIS8	49.78706	5.63152	111.0
ILGLIS6	49.794396	5.65555	107.69999999999999
IATTERT9	49.719406	5.753531	84.33
IARLON60	49.691643	5.769078	125.47999999999999
IARLON64	49.682942	5.798825	128.78
IARLON61	49.687092	5.812061	107.18
IARLON65	49.67858	5.825865	47.5
IARLON17	49.673557	5.829329	139.19
IEISCH1	49.689	5.88	118.62
IHOBSC1	49.682	5.918	114.30000000000001
IHOBSC2	49.686	5.929	93.72999999999999
IHOBSCHE4	49.679348	5.922438	112.52000000000001
ISTEINFO2	49.662022	5.92557	78.74000000000001
IKOERICH15	49.669628	5.948658	112.01
IGOEBL1	49.67	5.964	125.23
IDONDE1	49.693	6.033	124.2
IHOLLE23	49.714235	6.04595	146.09
IHOLLE28	49.713597	6.047683	137.70000000000002
IKOERICH14	49.670574	5.971231	114.5
ILUXEMBO3	49.671364	6.034289	81.02
IKEHLE3	49.66663	6.029306	24.64
ILMEISPE2	49.686634	6.05738	154.68
IBROUC2	49.739	6.014	230.13
ICLAUS10	49.693881	6.068613	147.32
IGOSSE1	49.729	6.114	122.42
ISTEINSE14	49.669525	6.132354	134.88
IHEISD4	49.673682	6.141966	121.67
ILUXEMBU11	49.662422	6.080723	137.67
IJUNGLIN19	49.702068	6.220619	136.91
IALTLI2	49.723	6.218	114.55
IGONDE5	49.695117	6.246045	99.82
IJUNGL2	49.710787	6.255329	149.09
INIDDERA39	49.680775	6.251249	104.65
IGMANTER5	49.708317	6.421361	124.21000000000001
IBIWER1	49.703	6.375	118.08
IBERBO5	49.729	6.393	133.6
IGREVE93	49.6828	6.448179	112.6
ITEMME1	49.688	6.469	105.1
IBERTR17	49.859	5.25	117.60000000000001
INEUFC5	49.864438	5.485897	99.83
ILUXEMBO7	49.854092	5.590065	71.12
IATTER3	49.762	5.763	102.9
IFAUVI3	49.876	5.676	106.18
INIEDE143	49.757	5.907	105.91
IDIEKIRC6	49.891918	5.813851	52.4
IPRIZE1	49.794987	5.95238	98.80000000000001
IPRIZERD2	49.796089	5.955194	68.57
IUSELDAN3	49.777401	5.948361	105.61
ISCHAN2	49.791554	5.980799	127.2
IVICHT1	49.796574	6.005562	104.13999999999999
IMERTZIG3	49.832005	6.005986	100.71000000000001
IMERTZ10	49.833	6.008	121.08999999999999
ICOLMA12	49.809617	6.096312	150.92000000000002
ICOLMA9	49.810345	6.09113	110.47999999999999
IBISSE17	49.789378	6.065594	133.89999999999998
IBERIN6	49.758	6.116	139.4
IETTEL2	49.85	6.095	85.6
ICHRIS189	49.788	6.274	142.19
IGREVENM12	49.786579	6.276158	131.8
IGILSD9	49.867	6.183	107.19
IKALKE1	49.782768	6.34691	127.26
IBERDO1	49.821848	6.344439	116.33
IGREVENM13	49.741951	6.283994	94.23
IMINDE6	49.824	6.469	139.9
IMOMPA1	49.753	6.464	100.58
IROSPO6	49.804493	6.50065	120.02
IPALIS6	49.964	5.185	124.19999999999999
ILIBRA2	49.928001	5.36	115.01000000000002
ILIBRA4	49.999334	5.47079	129.21
IVAUXS15	49.965397	5.678987	114.3
IBASTO4	49.967	5.717	113.82
IBASCH6	49.897559	5.815921	95.25
IHEIDE240	49.889224	5.976934	115.82
IHEIDE238	49.887393	5.976981	95.25
INOCHE3	49.948255	5.957723	92.30000000000001
INOCHE4	49.946324	5.97503	113.29999999999998
IKIISC1	49.951	6.02	120.9
IDIEKIRC11	49.85149	6.115816	102.62
IDIEKI2	49.866	6.156	104.91
IDINGELD2	49.857697	6.141451	124.69999999999999
IBETTEND8	49.879429	6.221175	118.10999999999999
IBETTEND4	49.875938	6.212749	134.88
IHOESD4	49.882949	6.255554	91.62
IWALLE10	49.8741	6.2905	125.73
INUSBAUM2	49.895294	6.350045	114.81
INIEHL1	49.955574	6.359881	132.1
IMECKEL2	49.888733	6.515806	148.84
IBEAUR5	50.103	4.904	77.22
IVIROI6	50.092	4.67	73.66
IFROME17	50.128963	4.849992	95.30000000000001
IROCHE81	50.11638	5.107647	108.69
IROCHE97	50.144	5.15	91.19
IHOUYE1	50.158211	5.062436	75.18
ISAINTHU7	50.025009	5.363176	123.19
ITENNE4	50.12	5.505	128.01
IBASTO8	50.061	5.748	116.0
ILAROC21	50.122201	5.635687	124.96
IWEIDI1	49.974354	5.933325	68.1
ILUXEMBO5	50.09647	5.868244	126.75
IPINTS3	49.995096	6.007815	106.19
IDRAUF1	50.019	6.004	98.81
IDEIFF3	50.066475	5.962674	123.41
IWINCRAN5	50.083328	5.95	118.1
IPARCH5	50.011513	6.050169	116.81
IPREISCH2	50.033298	6.15	126.75
IPREIS2	50.037025	6.152035	104.64
INEUER2	50.012189	6.290961	58.17
IDIEKIRC17	49.940208	6.215091	114.81
IDALEI3	50.072523	6.184356	130.31
IRITTE11	49.993874	6.48892	118.61999999999999
IBITBU4	49.978001	6.519	116.59
ILASEL1	50.112965	6.469108	144.29999999999998
IHASTI11	50.196533	4.823289	85.88
INAMURHO2	50.19878	4.993482	64.0
IMARCH89	50.179	5.311	110.49
IMARCH62	50.189	5.402	91.21000000000001
IMARCH64	50.202	5.425	154.42
ILAROCHE158	50.181671	5.575	164.84
ILAROCHE159	50.137531	5.652853	123.22
ILAROC35	50.146	5.675	121.38
IHOUFF4	50.158657	5.785647	123.21000000000001
IHOFFE1	50.102909	5.922765	121.92
IGOUVY8	50.142	5.906	133.1
IESELB1	50.062337	6.000803	124.89
IREULE1	50.060021	6.035119	115.59
IREULE2	50.055778	6.036101	122.71
IWEISW2	50.138683	6.0769	105.67
IGROKA11	50.162142	6.205891	141.17000000000002
IPRONSFE3	50.159107	6.336806	158.75
IPRONSFE2	50.160618	6.350501	157.71
IPRONS4	50.162	6.348	121.4
IPRONSFE4	50.161552	6.350299	135.89
IPITTENB2	50.177982	6.34112	141.48
INIMSR2	50.131405	6.450792	168.43
IDINAN13	50.272926	4.9	70.1
IMETTE10	50.27288	4.651281	77.19
ICINEY14	50.252	5.199	71.1
IMARCH84	50.225605	5.349297	102.87
IMARCH70	50.238	5.366	103.09
IMARCH60	50.238	5.37	98.8
IRENDE6	50.216835	5.477452	100.31
IRENDE10	50.217205	5.52458	140.72
IVIELS1	50.253915	5.735642	96.6
IMANHA8	50.274819	5.719587	82.04
IMANHA7	50.276	5.656	127.75999999999999
ILIERN2	50.286055	5.793754	111.25
IVIELS4	50.260873	5.94095	128.01
IVIELSAL6	50.284733	5.902289	117.10000000000001
IWINTE18	50.213177	6.209644	101.86000000000001
IBLEIA1	50.236989	6.282725	133.60000000000002
IRIJNLAN2	50.192604	6.368974	139.45000000000002
IPRM13	50.202092	6.41036	173.2
IPRM14	50.21	6.42	127.5
IROMME5	50.197635	6.44983	172.49
IPRM12	50.228512	6.436841	108.69999999999999
IMETTE5	50.308998	4.71	57.66
IMETTE21	50.346	4.723	55.39
IMETTE9	50.336	4.68	66.78999999999999
IYVOIR16	50.315	4.971	62.23
IYVOIR6	50.337566	4.96502	36.58
IASSES3	50.364	4.937	57.2
ICINEY13	50.293688	5.102741	66.55
IHAMOI2	50.32	5.182	90.2
IHAMOI5	50.307715	5.209949	74.17
IHAVEL27	50.371244	5.339065	88.9
IDURBU1	50.333	5.432	89.15
IMANHA3	50.313	5.688	138.17
IFERRIRE27	50.402313	5.605195	155.7
IAYWAI3	50.418	5.689	153.41
ITROIS38	50.363853	5.860294	47.75
ITROIS14	50.362663	5.875781	128.29
ISAINTVI84	50.309372	6.093909	118.36
ISANKT230	50.304627	6.166627	104.8
IAMEL5	50.332	6.189	114.32000000000001
IAMBLV2	50.317772	6.253663	113.79
IBLLIN6	50.408791	6.306152	127.51
IKLEIN52	50.271	6.494	141.98000000000002
IWEINS15	50.233	6.477	148.41
INAMUR76	50.420096	4.799438	60.199999999999996
IFOSSE4	50.408465	4.753241	65.1
INAMUR65	50.429638	4.817633	35.05
INAMUR62	50.431	4.82	9.6
INAMUR78	50.437	4.923	72.39
INAMUR77	50.452077	4.876928	62.23
IASSES5	50.390755	5.023096	82.03999999999999
IGESVE1	50.426557	5.022539	32.0
IASSES2	50.386	5.044	64.27000000000001
ITINLO1	50.463393	5.323616	118.11
IMODAV1	50.478125	5.290414	105.41
IFERRI13	50.438	5.624	160.52999999999997
IAYWAI4	50.477	5.659	7.87
ISPRIM3	50.507	5.642	120.64
ITHEUX19	50.464875	5.808201	161.8
IRGIONWA85	50.499901	5.715506	83.82
IJALHA7	50.494219	5.908539	195.83
IWAIME4	50.417	6.105	114.30000000000001
IMALME3	50.473999	6.08	125.97999999999999
IBLLIN7	50.406	6.247	130.12
IBULLA6	50.415001	6.313	100.58000000000001
IHELLE63	50.457	6.396	120.89999999999999
INORDRHE402	50.4618	6.403129	27.689999999999998
INAMUR79	50.475	4.799	43.18
IRGIONWA78	50.46307	4.847392	37.59
ILABRUYR13	50.534767	4.865408	29.71
INAMUR20	50.496952	4.886795	39.11
INAMUR72	50.512343	4.947154	61.730000000000004
IGHEZE13	50.546457	4.907776	37.6
IGHEZE14	50.546596	4.907294	36.58
IWALPETI8	50.521587	5.048214	54.36
IHRON8	50.552	5.053	37.849999999999994
IBURDI1	50.576381	5.14814	46.71
