stationId	latitude	longitude	precipitation_12	precipitation_13	precipitation_14	precipitation_15	precipitation
IBRIQU1	49.405324	4.878868	0.3	55.91	65.99	12.19	134.39
IOMONT1	49.601989	4.733161	0.3	46.2	42.9	18.29	107.69
ISAVIG19	49.364744	4.723761	2.01	58.19	49.0	22.1	131.29999999999998
ICHAMPAG23	49.626713	4.914683	0.76	23.62	25.65	6.1	56.13
INOUVION5	49.701	4.801438	0.25	36.83	48.26	17.53	102.87
ICHAUV3	49.540478	5.297547	1.8	44.91	48.01	11.71	106.43
IFLORE50	49.63331	5.327996	1.8	39.4	44.4	9.7	95.3
IVIRTO3	49.583069	5.556281	3.3	47.19	43.51	55.6	149.6
IVIRTON5	49.532627	5.597771	1.8	29.79	52.4	11.0	94.99
IGORCY1	49.536411	5.684228	2.79	47.75	97.79	8.38	156.71
ILORRAIN78	49.514938	5.766354	2.7	34.9	55.9	6.4	99.9
IAUBANGE18	49.55764	5.797166	3.3	38.4	97.99	8.89	148.57999999999998
IHUSSIGN2	49.491146	5.860274	1.02	25.91	53.85	12.95	93.73
IDIFFE2	49.516998	5.889	0.51	37.08	69.09	7.37	114.05000000000001
ILUXEMBO182	49.516094	5.928246	2.03	25.15	60.2	28.19	115.57
ISCHIFFL21	49.505562	6.0125	1.78	36.32	90.68	18.03	146.81
ISCHIFFL18	49.504692	6.01758	2.03	39.88	107.44	17.78	167.13
IESCHS3	49.507999	5.973	0.0	12.19	9.65	10.41	32.25
IMONDE1	49.5313	6.031536	1.52	28.7	96.27	14.48	140.97
IBETTE1	49.519001	6.059	1.5	27.71	97.0	11.91	138.12
IBETTE19	49.516651	6.104491	2.01	29.49	99.11	14.2	144.81
ILUXEMBU49	49.517651	6.105514	2.01	26.19	82.5	15.49	126.19
IROESER5	49.502453	6.135061	1.52	29.21	89.92	8.89	129.54000000000002
IBETTE17	49.519669	6.081797	1.27	24.38	81.03	18.8	125.48
IDUDELAN13	49.476959	6.096928	2.54	24.64	90.68	91.95	209.81
IABWEI1	49.533	6.077	1.5	28.19	101.09	12.4	143.18
IFRISA1	49.516	6.187	0.76	21.08	74.17	7.37	103.38000000000001
IFRISA2	49.520896	6.185674	0.71	22.1	81.61	7.9	112.32000000000001
IROUSS7	49.464	6.2	0.25	22.86	75.44	7.62	106.17
IROUSS8	49.455716	6.189093	0.25	26.67	73.41	75.44	175.76999999999998
IMONDO7	49.508	6.272	0.79	35.0	89.99	5.59	131.37
IMONDO8	49.50919	6.283179	0.3	29.49	79.5	3.3	112.58999999999999
IMONDO9	49.510534	6.283647	0.25	26.67	67.31	2.79	97.02000000000001
ISCHEN1	49.503624	6.31848	0.0	35.31	86.11	2.31	123.73
IBEYRE3	49.470319	6.309368	0.0	32.26	77.47	2.29	112.02
IPERL24	49.507599	6.382784	0.0	30.99	75.69	1.3	107.97999999999999
IPERL27	49.506	6.376	0.0	28.7	74.4	0.99	104.09
