stationId	latitude	longitude
ITANNA8	49.50853	4.82388
IBRIQU1	49.40532	4.87887
IOMONT1	49.60199	4.73316
ISAVIG45	49.37	4.71
ICOULO5	49.44031	4.60028
ISAVIG19	49.36474	4.72376
ICHAMPAG23	49.62671	4.91468
IVILLE59	49.681	4.849
INOUVION5	49.701	4.80144
IDUNSU1	49.38665	5.19187
ICHAUV3	49.54048	5.29755
IPURE1	49.67	5.17
IPOURU2	49.702	5.083
IAUFLA1	49.617	5.288
IREMOIVI2	49.44331	5.35875
IFLORE50	49.63331	5.328
IMARVI2	49.452	5.455
ISAINT3340	49.45501	5.46975
IMEIXD1	49.573	5.497
IVIRTO4	49.55747	5.52393
IVIRTO3	49.58307	5.55628
IVIRTON5	49.53263	5.59777
IMUSSO8	49.5691	5.65832
IGORCY1	49.53641	5.68423
IMUSSO6	49.56	5.719
ILORRAIN78	49.51494	5.76635
ILONGW1	49.511	5.771
ILONGL10	49.533	5.804
IAUBAN13	49.55622	5.78841
IAUBANGE18	49.55764	5.79717
IHUSSIGN2	49.49115	5.86027
IRODAN1	49.54231	5.8234
IDIFFE2	49.517	5.889
IOBERK44	49.50614	5.89408
IBELVA1	49.51146	5.92926
IBELVA3	49.516	5.928
ILUXEMBO182	49.51609	5.92825
ILUXEMBO13	49.5459	5.88699
INIEDE284	49.546	5.886
ISCHIFFL21	49.50556	6.0125
ISCHIFFL18	49.50469	6.01758
IESCHS5	49.501	5.978
IESCHS3	49.508	5.973
IKAYL9	49.492	6.047
IMONDE1	49.5313	6.03154
IBETTE1	49.519	6.059
ITETAN1	49.46444	6.03798
ITETAN10	49.46429	6.03789
IBETTE19	49.51665	6.10449
ILUXEMBU49	49.51765	6.10551
IBETTE40	49.51782	6.10524
IBETTE44	49.51785	6.10506
IROESER5	49.50245	6.13506
IBETTE17	49.51967	6.0818
IDUDELAN13	49.47696	6.09693
IABWEI1	49.533	6.077
IFRISA1	49.516	6.187
IFRISA2	49.5209	6.18567
IROUSS7	49.464	6.2
IROUSS8	49.45572	6.18909
IMONDO7	49.508	6.272
IMONDO8	49.50919	6.28318
IMONDO9	49.51053	6.28365
ISCHEN1	49.50362	6.31848
IBEYRE3	49.47032	6.30937
IBEYRE5	49.46867	6.3091
IWELLE26	49.526	6.345
IGREVENM7	49.53836	6.28454
IPERL24	49.5076	6.38278
ISLBESCH2	49.50907	6.38408
IPERL29	49.50981	6.38292
IPERL27	49.506	6.376
IPERL28	49.48249	6.38955
IPERL22	49.49971	6.44211
IPERL21	49.46953	6.38105
IPERL19	49.46712	6.37746
IVRIGN3	49.73686	4.84794
ICHARL29	49.785	4.692
ICHINY6	49.694	5.377
ICHINY4	49.69712	5.38296
ITALLE13	49.67305	5.66711
ISAINT1137	49.62015	5.71818
IARLON63	49.68514	5.71204
IAUBANGE19	49.56982	5.77625
IARLON59	49.63897	5.77277
IMESSA8	49.631	5.805
IMESSA9	49.63082	5.80526
IMESSANC21	49.63088	5.80575
IMESSA1	49.632	5.806
IRGIONWA34	49.5712	5.8363
IMESSA10	49.61431	5.85513
ICLEME2	49.59405	5.8718
IBASCH1	49.573	5.917
IGARNI1	49.63503	5.91625
IBASCH3	49.562	5.918
IBASCH7	49.5598	5.89751
IBASCH8	49.559	5.896
ILUXEMBU60	49.591	5.98215
